cliente_id,smdes1_bajo,smdes1_alto,smdes2_bajo,smdes2_alto,smdes3_bajo,smdes3_alto
11120666,20.0,29.0,30.0,36.0,37.0,250.0
11120672,21.0,32.0,33.0,39.0,40.0,250.0
11143230,29.0,43.0,44.0,52.0,53.0,400.0
11188460,15.0,23.0,24.0,28.0,29.0,250.0
11203206,18.0,27.0,28.0,32.0,33.0,250.0
11239546,27.0,41.0,42.0,50.0,51.0,400.0
11372862,2.0,6.0,7.0,9.0,10.0,100.0
11424326,13.0,19.0,20.0,24.0,25.0,250.0
11449130,54.0,81.0,82.0,99.0,100.0,400.0
11464078,15.0,22.0,23.0,27.0,28.0,250.0
11464560,2.0,4.0,5.0,6.0,7.0,100.0
11477215,2.0,3.0,4.0,5.0,6.0,100.0
11516730,2.0,7.0,8.0,10.0,11.0,100.0
11541743,76.0,114.0,115.0,139.0,140.0,800.0
11545597,2.0,10.0,11.0,13.0,14.0,100.0
11552556,2.0,3.0,4.0,5.0,6.0,100.0
11563550,2.0,6.0,7.0,9.0,10.0,100.0
11563562,8.0,11.0,12.0,14.0,15.0,100.0
11622577,239.0,358.0,359.0,437.0,438.0,1500.0
11683453,2.0,6.0,7.0,9.0,10.0,100.0
11729627,10.0,15.0,16.0,18.0,19.0,100.0
11768235,21.0,31.0,32.0,38.0,39.0,250.0
11797750,9.0,14.0,15.0,17.0,18.0,100.0
12133627,12.0,18.0,19.0,22.0,23.0,250.0
12144961,12.0,18.0,19.0,22.0,23.0,250.0
12146367,169.0,253.0,254.0,310.0,311.0,1500.0
12201899,27.0,41.0,42.0,50.0,51.0,400.0
12233572,17.0,26.0,27.0,31.0,32.0,250.0
12250584,12.0,18.0,19.0,22.0,23.0,250.0
12261005,2.0,3.0,4.0,5.0,6.0,100.0
12530766,39.0,58.0,59.0,71.0,72.0,400.0
12538199,7.0,10.0,11.0,13.0,14.0,100.0
12570601,8.0,11.0,12.0,14.0,15.0,100.0
12636439,12.0,18.0,19.0,21.0,22.0,250.0
12648081,12.0,18.0,19.0,21.0,22.0,250.0
12669364,8.0,11.0,12.0,14.0,15.0,100.0
12702279,19.0,28.0,29.0,35.0,36.0,250.0
12702592,51.0,77.0,78.0,94.0,95.0,400.0
12711297,11.0,17.0,18.0,20.0,21.0,250.0
12712558,2.0,3.0,4.0,5.0,6.0,100.0
12735357,2.0,3.0,4.0,5.0,6.0,100.0
12738777,28.0,42.0,43.0,51.0,52.0,400.0
12775290,39.0,58.0,59.0,71.0,72.0,400.0
12784225,18.0,27.0,28.0,32.0,33.0,250.0
12804848,2.0,10.0,11.0,13.0,14.0,100.0
12806952,8.0,11.0,12.0,14.0,15.0,100.0
12809054,14.0,21.0,22.0,26.0,27.0,250.0
12816670,11.0,17.0,18.0,20.0,21.0,250.0
12822349,2.0,7.0,8.0,10.0,11.0,100.0
12827757,15.0,22.0,23.0,27.0,28.0,250.0
12856072,2.0,9.0,10.0,12.0,13.0,100.0
12903326,18.0,27.0,28.0,33.0,34.0,250.0
12906686,2.0,3.0,4.0,5.0,6.0,100.0
12935599,23.0,35.0,36.0,42.0,43.0,250.0
